video,vidFrame,totalFramesOnDetection,class,score,ymin,xmin,ymax,xmax
AI1 Potholes 003.MP4,1189.0,6393.0,pothole,0.5064513,0.852801,0.687444,1.0,0.9575553
AI1 Potholes 003.MP4,1213.0,6417.0,pothole,0.5713256,0.8592209,0.72380006,1.0,0.96840847
AI1 Potholes 003.MP4,1225.0,6429.0,pothole,0.50628424,0.88204736,0.7694403,1.0,1.0
AI1 Potholes 003.MP4,1237.0,6441.0,pothole,0.5931787,0.9258093,0.8188838,1.0,1.0
AI1 Potholes 003.MP4,1261.0,6465.0,pothole,0.51727736,0.72222036,0.35610324,0.82855886,0.4960633
AI1 Potholes 003.MP4,1273.0,6477.0,pothole,0.5259652,0.30566365,0.4383584,0.36826766,0.52827084
AI1 Potholes 003.MP4,1441.0,6645.0,pothole,0.55129457,0.93480825,0.81501013,1.0,1.0
AI1 Potholes 003.MP4,1453.0,6657.0,pothole,0.5082971,0.9047752,0.7736095,1.0,1.0
AI1 Potholes 003.MP4,1753.0,6957.0,pothole,0.66074145,0.5526971,0.0,0.8229086,0.73909914
AI1 Potholes 003.MP4,2305.0,7509.0,pothole,0.54998314,0.31186223,0.79320496,0.46757704,1.0
AI1 Potholes 003.MP4,2845.0,8049.0,pothole,0.6242464,0.16115615,0.86229783,0.39627287,1.0
AI1 Potholes 003.MP4,2857.0,8061.0,pothole,0.6257695,0.09346969,0.8609987,0.3386983,1.0
AI1 Potholes 003.MP4,2869.0,8073.0,pothole,0.5818215,0.12629165,0.8758638,0.37839562,1.0
AI1 Potholes 003.MP4,3181.0,8385.0,pothole,0.5722342,0.0,0.0,0.57783055,0.7030221
AI1 Potholes 003.MP4,3265.0,8469.0,pothole,0.50365573,0.5003506,0.020033002,0.95831764,0.6279824
AI1 Potholes 004.MP4,265.0,9800.0,pothole,0.65119356,0.11008826,0.7021582,0.16338262,0.8041091
AI1 Potholes 004.MP4,361.0,9896.0,pothole,0.58051956,0.048512705,0.5776186,0.0986528,0.6666783
AI1 Potholes 004.MP4,469.0,10004.0,pothole,0.82710415,0.092116475,0.23500219,0.76360506,0.85042846
